epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,862.844,0.93981,0.81115,2.25066,0.82835,0.99219,0.95196,0.70313,1.15054,1.06105,2.55655,0.000462259,0.000462259,0.000462259
75,874.251,1.03768,0.81741,2.46814,0.99646,0.84884,0.95087,0.70728,1.09016,0.95059,2.36655,0.000445756,0.000445756,0.000445756
76,885.523,0.90156,0.69248,2.14026,0.89279,0.9,0.93305,0.70055,1.04084,0.88148,2.33808,0.000429253,0.000429253,0.000429253
77,896.621,1.1134,1.03127,2.40372,0.89784,0.9,0.92382,0.71593,1.02044,0.88264,2.36007,0.000412749,0.000412749,0.000412749
78,907.682,0.87739,0.70313,2.13192,0.87654,0.95,0.92698,0.72075,1.01556,0.83759,2.37757,0.000396246,0.000396246,0.000396246
79,918.694,0.93837,0.75121,2.1636,0.96839,0.85,0.95333,0.71941,1.03129,0.78324,2.42118,0.000379743,0.000379743,0.000379743
80,931.471,0.95313,0.77331,2.24761,0.85321,1,0.95567,0.70606,1.03423,0.72541,2.40814,0.000363239,0.000363239,0.000363239
81,942.676,1.03562,0.85425,2.20495,0.87838,1,0.94927,0.69988,1.06546,0.7645,2.48257,0.000346736,0.000346736,0.000346736
82,954.611,0.88209,0.68982,2.06723,0.87826,0.96925,0.95192,0.70488,0.99743,0.83455,2.35408,0.000330233,0.000330233,0.000330233
83,965.967,0.96813,0.70166,2.29456,0.87229,0.97131,0.97846,0.71088,0.99227,0.91036,2.384,0.000313729,0.000313729,0.000313729
84,977.329,0.96551,0.7785,2.14026,0.9166,0.96843,0.97833,0.73013,1.00008,0.89143,2.45833,0.000297226,0.000297226,0.000297226
85,988.531,0.84763,0.65023,2.08991,0.87692,0.9783,0.97346,0.75712,0.9919,0.84768,2.4324,0.000280723,0.000280723,0.000280723
86,999.882,0.85961,0.66265,2.11617,0.87798,0.98747,0.97346,0.76131,0.98682,0.79659,2.33352,0.00026422,0.00026422,0.00026422
87,1011.24,0.90468,0.64956,2.10433,0.91631,0.99172,0.98167,0.75239,1.02647,0.73765,2.3038,0.000247716,0.000247716,0.000247716
88,1022.53,0.93817,0.75638,2.23037,0.94941,0.94695,0.98346,0.7636,1.0814,0.70697,2.36544,0.000231213,0.000231213,0.000231213
89,1033.95,0.93581,0.71159,2.10584,0.97477,0.95,0.98667,0.74166,1.09422,0.70634,2.38212,0.00021471,0.00021471,0.00021471
90,1045.24,1.04023,0.75776,2.23768,0.97603,0.94867,0.98346,0.7325,1.09094,0.74965,2.35559,0.000198206,0.000198206,0.000198206
91,1090.29,0.73092,0.60038,2.07537,0.94964,0.89923,0.97437,0.71695,1.08245,0.8031,2.31511,0.000181703,0.000181703,0.000181703
92,1101.49,0.73632,0.5893,1.95982,0.92213,0.95,0.98167,0.71678,1.10353,0.78356,2.31313,0.0001652,0.0001652,0.0001652
93,1113.04,0.61462,0.54493,1.9652,0.93477,0.95,0.98167,0.73116,1.05959,0.71346,2.24608,0.000148696,0.000148696,0.000148696
94,1125.39,0.66171,0.53059,1.84186,0.97112,0.94399,0.98346,0.74746,1.03492,0.68485,2.20822,0.000132193,0.000132193,0.000132193
95,1136.64,0.6594,0.48788,1.93506,0.98147,0.94,0.98667,0.74828,1.02248,0.68844,2.19205,0.00011569,0.00011569,0.00011569
96,1147.95,0.68731,0.49816,2.0318,0.94343,1,0.99045,0.748,1.01237,0.67972,2.18989,9.91865e-05,9.91865e-05,9.91865e-05
97,1160.03,0.56238,0.46312,1.84527,0.98884,0.93125,0.99045,0.77107,0.99967,0.6657,2.18355,8.26832e-05,8.26832e-05,8.26832e-05
98,1172.74,0.5205,0.46442,1.68585,1,0.9708,0.995,0.7728,0.99314,0.65071,2.1854,6.61799e-05,6.61799e-05,6.61799e-05
99,1184.24,0.6238,0.51836,1.98455,1,0.96325,0.995,0.777,0.97964,0.65312,2.18264,4.96766e-05,4.96766e-05,4.96766e-05
100,1195.66,0.72473,0.51676,2.05314,1,0.96192,0.995,0.76355,0.95883,0.65957,2.15987,3.31733e-05,3.31733e-05,3.31733e-05
